id,sub detector,depth,ieta,iphi
1125126156,1,1,-4,12
1125126157,1,1,-4,13
1125126158,1,1,-4,14
1125126159,1,1,-4,15
1125126160,1,1,-4,16
1125126161,1,1,-4,17
1125126162,1,1,-4,18
1125126163,1,1,-4,19
1125126164,1,1,-4,20
1125126165,1,1,-4,21
1125126166,1,1,-4,22
1125126167,1,1,-4,23
1125126168,1,1,-4,24
1125126169,1,1,-4,25
1125126170,1,1,-4,26
1125126171,1,1,-4,27
1125126172,1,1,-4,28
1125126173,1,1,-4,29
1125126174,1,1,-4,30
1125126175,1,1,-4,31
1125126176,1,1,-4,32
1125126177,1,1,-4,33
1125126178,1,1,-4,34
1125126179,1,1,-4,35
1125126180,1,1,-4,36
1125126181,1,1,-4,37
1125126182,1,1,-4,38
1125126183,1,1,-4,39
1125126184,1,1,-4,40
1125126185,1,1,-4,41
1125126186,1,1,-4,42
1125126187,1,1,-4,43
1125126188,1,1,-4,44
1125126189,1,1,-4,45
1125126190,1,1,-4,46
1125126191,1,1,-4,47
1125126192,1,1,-4,48
1125126193,1,1,-4,49
1125126194,1,1,-4,50
1125126195,1,1,-4,51
1125126196,1,1,-4,52
1125126197,1,1,-4,53
1125126198,1,1,-4,54
1125126199,1,1,-4,55
1125126200,1,1,-4,56
1125126201,1,1,-4,57
1125126202,1,1,-4,58
1125126203,1,1,-4,59
1125126204,1,1,-4,60
1125126205,1,1,-4,61
1125126206,1,1,-4,62
1125126207,1,1,-4,63
1125126208,1,1,-4,64
1125126209,1,1,-4,65
1125126210,1,1,-4,66
1125126211,1,1,-4,67
1125126212,1,1,-4,68
1125126213,1,1,-4,69
1125126214,1,1,-4,70
1125126215,1,1,-4,71
1125126216,1,1,-4,72
1125127169,1,1,-5,1
1125127170,1,1,-5,2
1125127171,1,1,-5,3
1125127172,1,1,-5,4
1125127173,1,1,-5,5
1125127174,1,1,-5,6
1125127175,1,1,-5,7
1125127176,1,1,-5,8
1125127177,1,1,-5,9
1125127178,1,1,-5,10
1125127179,1,1,-5,11
1125127180,1,1,-5,12
1125127181,1,1,-5,13
1125127182,1,1,-5,14
1125127183,1,1,-5,15
1125127184,1,1,-5,16
1125127185,1,1,-5,17
1125127186,1,1,-5,18
1125127187,1,1,-5,19
1125127188,1,1,-5,20
1125127189,1,1,-5,21
1125127190,1,1,-5,22
1125127191,1,1,-5,23
1125127192,1,1,-5,24
1125127193,1,1,-5,25
1125127194,1,1,-5,26
1125127195,1,1,-5,27
1125127196,1,1,-5,28
1125127197,1,1,-5,29
1125127198,1,1,-5,30
1125127199,1,1,-5,31
1125127200,1,1,-5,32
1125127201,1,1,-5,33
1125127202,1,1,-5,34
1125127203,1,1,-5,35
1125127204,1,1,-5,36
1125127205,1,1,-5,37
1125127206,1,1,-5,38
1125127207,1,1,-5,39
1125127208,1,1,-5,40
1125127209,1,1,-5,41
1125127210,1,1,-5,42
1125127211,1,1,-5,43
1125127212,1,1,-5,44
1125127213,1,1,-5,45
1125127214,1,1,-5,46
1125127215,1,1,-5,47
1125127216,1,1,-5,48
1125127217,1,1,-5,49
1125127218,1,1,-5,50
1125127219,1,1,-5,51
1125127220,1,1,-5,52
1125127221,1,1,-5,53
1125127222,1,1,-5,54
1125127223,1,1,-5,55
1125127224,1,1,-5,56
1125127225,1,1,-5,57
1125127226,1,1,-5,58
1125127227,1,1,-5,59
1125127228,1,1,-5,60
1125127229,1,1,-5,61
1125127230,1,1,-5,62
1125127231,1,1,-5,63
1125127232,1,1,-5,64
1125127233,1,1,-5,65
1125127234,1,1,-5,66
1125127235,1,1,-5,67
1125127236,1,1,-5,68
1125127237,1,1,-5,69
1125127238,1,1,-5,70
1125127239,1,1,-5,71
1125127240,1,1,-5,72
1125128193,1,1,-6,1
1125128194,1,1,-6,2
1125128195,1,1,-6,3
1125128196,1,1,-6,4
1125128197,1,1,-6,5
1125128198,1,1,-6,6
1125128199,1,1,-6,7
1125128200,1,1,-6,8
1125128201,1,1,-6,9
1125128202,1,1,-6,10
1125128203,1,1,-6,11
1125128204,1,1,-6,12
1125128205,1,1,-6,13
1125128206,1,1,-6,14
1125128207,1,1,-6,15
1125128208,1,1,-6,16
1125128209,1,1,-6,17
1125128210,1,1,-6,18
1125128211,1,1,-6,19
1125128212,1,1,-6,20
1125128213,1,1,-6,21
1125128214,1,1,-6,22
1125128215,1,1,-6,23
1125128216,1,1,-6,24
1125128217,1,1,-6,25
1125128218,1,1,-6,26
1125128219,1,1,-6,27
1125128220,1,1,-6,28
1125128221,1,1,-6,29
1125128222,1,1,-6,30
1125128223,1,1,-6,31
1125128224,1,1,-6,32
1125128225,1,1,-6,33
1125128226,1,1,-6,34
1125128227,1,1,-6,35
1125128228,1,1,-6,36
1125128229,1,1,-6,37
1125128230,1,1,-6,38
1125128231,1,1,-6,39
1125128232,1,1,-6,40
1125128233,1,1,-6,41
1125128234,1,1,-6,42
1125128235,1,1,-6,43
1125128236,1,1,-6,44
1125128237,1,1,-6,45
1125128238,1,1,-6,46
1125128239,1,1,-6,47
1125128240,1,1,-6,48
1125128241,1,1,-6,49
1125128242,1,1,-6,50
1125128243,1,1,-6,51
1125128244,1,1,-6,52
1125128245,1,1,-6,53
1125128246,1,1,-6,54
1125128247,1,1,-6,55
1125128248,1,1,-6,56
1125128249,1,1,-6,57
1125128250,1,1,-6,58
1125128251,1,1,-6,59
1125128252,1,1,-6,60
1125128253,1,1,-6,61
1125128254,1,1,-6,62
1125128255,1,1,-6,63
1125128256,1,1,-6,64
1125128257,1,1,-6,65
1125128258,1,1,-6,66
1125128259,1,1,-6,67
1125128260,1,1,-6,68
1125128261,1,1,-6,69
1125128262,1,1,-6,70
1125128263,1,1,-6,71
1125128264,1,1,-6,72
1125129217,1,1,-7,1
1125129218,1,1,-7,2
1125129219,1,1,-7,3
1125129220,1,1,-7,4
1125129221,1,1,-7,5
1125129222,1,1,-7,6
1125129223,1,1,-7,7
1125129224,1,1,-7,8
1125129225,1,1,-7,9
1125129226,1,1,-7,10
1125129227,1,1,-7,11
1125129228,1,1,-7,12
1125129229,1,1,-7,13
1125129230,1,1,-7,14
1125129231,1,1,-7,15
1125129232,1,1,-7,16
1125129233,1,1,-7,17
1125129234,1,1,-7,18
1125129235,1,1,-7,19
1125129236,1,1,-7,20
1125129237,1,1,-7,21
1125129238,1,1,-7,22
1125129239,1,1,-7,23
1125129240,1,1,-7,24
1125129241,1,1,-7,25
1125129242,1,1,-7,26
1125129243,1,1,-7,27
1125129244,1,1,-7,28
1125129245,1,1,-7,29
1125129246,1,1,-7,30
1125129247,1,1,-7,31
1125129248,1,1,-7,32
1125129249,1,1,-7,33
1125129250,1,1,-7,34
1125129251,1,1,-7,35
1125129252,1,1,-7,36
1125129253,1,1,-7,37
1125129254,1,1,-7,38
1125129255,1,1,-7,39
1125129256,1,1,-7,40
1125129257,1,1,-7,41
1125129258,1,1,-7,42
1125129259,1,1,-7,43
1125129260,1,1,-7,44
1125129261,1,1,-7,45
1125129262,1,1,-7,46
1125129263,1,1,-7,47
1125129264,1,1,-7,48
1125129265,1,1,-7,49
1125129266,1,1,-7,50
1125129267,1,1,-7,51
1125129268,1,1,-7,52
1125129269,1,1,-7,53
1125129270,1,1,-7,54
1125129271,1,1,-7,55
1125129272,1,1,-7,56
1125129273,1,1,-7,57
1125129274,1,1,-7,58
1125129275,1,1,-7,59
1125129276,1,1,-7,60
1125129277,1,1,-7,61
1125129278,1,1,-7,62
1125129279,1,1,-7,63
1125129280,1,1,-7,64
1125129281,1,1,-7,65
1125129282,1,1,-7,66
1125129283,1,1,-7,67
1125129284,1,1,-7,68
1125129285,1,1,-7,69
1125129286,1,1,-7,70
1125129287,1,1,-7,71
1125129288,1,1,-7,72
1125130241,1,1,-8,1
1125130242,1,1,-8,2
1125130243,1,1,-8,3
1125130244,1,1,-8,4
1125130245,1,1,-8,5
1125130246,1,1,-8,6
1125130247,1,1,-8,7
1125130248,1,1,-8,8
1125130249,1,1,-8,9
1125130250,1,1,-8,10
1125130251,1,1,-8,11
1125130252,1,1,-8,12
1125130253,1,1,-8,13
1125130254,1,1,-8,14
1125130255,1,1,-8,15
1125130256,1,1,-8,16
1125130257,1,1,-8,17
1125130258,1,1,-8,18
1125130259,1,1,-8,19
1125130260,1,1,-8,20
1125130261,1,1,-8,21
1125130262,1,1,-8,22
1125130263,1,1,-8,23
1125130264,1,1,-8,24
1125130265,1,1,-8,25
1125130266,1,1,-8,26
1125130267,1,1,-8,27
1125130268,1,1,-8,28
1125130269,1,1,-8,29
1125130270,1,1,-8,30
1125130271,1,1,-8,31
1125130272,1,1,-8,32
1125130273,1,1,-8,33
1125130274,1,1,-8,34
1125130275,1,1,-8,35
1125130276,1,1,-8,36
1125130277,1,1,-8,37
1125130278,1,1,-8,38
1125130279,1,1,-8,39
1125130280,1,1,-8,40
1125130281,1,1,-8,41
1125130282,1,1,-8,42
1125130283,1,1,-8,43
1125130284,1,1,-8,44
1125130285,1,1,-8,45
1125130286,1,1,-8,46
1125130287,1,1,-8,47
1125130288,1,1,-8,48
1125130289,1,1,-8,49
1125130290,1,1,-8,50
1125130291,1,1,-8,51
1125130292,1,1,-8,52
1125130293,1,1,-8,53
1125130294,1,1,-8,54
1125130295,1,1,-8,55
1125130296,1,1,-8,56
1125130297,1,1,-8,57
1125130298,1,1,-8,58
1125130299,1,1,-8,59
1125130300,1,1,-8,60
1125130301,1,1,-8,61
1125130302,1,1,-8,62
1125130303,1,1,-8,63
1125130304,1,1,-8,64
1125130305,1,1,-8,65
1125130306,1,1,-8,66
1125130307,1,1,-8,67
1125130308,1,1,-8,68
1125130309,1,1,-8,69
1125130310,1,1,-8,70
1125130311,1,1,-8,71
1125130312,1,1,-8,72
1125131265,1,1,-9,1
1125131266,1,1,-9,2
1125131267,1,1,-9,3
1125131268,1,1,-9,4
1125131269,1,1,-9,5
1125131270,1,1,-9,6
1125131271,1,1,-9,7
1125131272,1,1,-9,8
1125131273,1,1,-9,9
1125131274,1,1,-9,10
1125131275,1,1,-9,11
1125131276,1,1,-9,12
1125131277,1,1,-9,13
1125131278,1,1,-9,14
1125131279,1,1,-9,15
1125131280,1,1,-9,16
1125131281,1,1,-9,17
1125131282,1,1,-9,18
1125131283,1,1,-9,19
1125131284,1,1,-9,20
1125131285,1,1,-9,21
1125131286,1,1,-9,22
1125131287,1,1,-9,23
1125131288,1,1,-9,24
1125131289,1,1,-9,25
1125131290,1,1,-9,26
1125131291,1,1,-9,27
1125131292,1,1,-9,28
1125131293,1,1,-9,29
1125131294,1,1,-9,30
1125131295,1,1,-9,31
1125131296,1,1,-9,32
1125131297,1,1,-9,33
1125131298,1,1,-9,34
1125131299,1,1,-9,35
1125131300,1,1,-9,36
1125131301,1,1,-9,37
1125131302,1,1,-9,38
1125131303,1,1,-9,39
1125131304,1,1,-9,40
1125131305,1,1,-9,41
1125131306,1,1,-9,42
1125131307,1,1,-9,43
1125131308,1,1,-9,44
1125131309,1,1,-9,45
1125131310,1,1,-9,46
1125131311,1,1,-9,47
1125131312,1,1,-9,48
1125131313,1,1,-9,49
1125131314,1,1,-9,50
1125131315,1,1,-9,51
1125131316,1,1,-9,52
1125131317,1,1,-9,53
1125131318,1,1,-9,54
1125131319,1,1,-9,55
1125131320,1,1,-9,56
1125131321,1,1,-9,57
1125131322,1,1,-9,58
1125131323,1,1,-9,59
1125131324,1,1,-9,60
1125131325,1,1,-9,61
1125131326,1,1,-9,62
1125131327,1,1,-9,63
1125131328,1,1,-9,64
1125131329,1,1,-9,65
1125131330,1,1,-9,66
1125131331,1,1,-9,67
1125131332,1,1,-9,68
1125131333,1,1,-9,69
1125131334,1,1,-9,70
1125131335,1,1,-9,71
1125131336,1,1,-9,72
1125132289,1,1,-10,1
1125132290,1,1,-10,2
1125132291,1,1,-10,3
1125132292,1,1,-10,4
1125132293,1,1,-10,5
1125132294,1,1,-10,6
1125132295,1,1,-10,7
1125132296,1,1,-10,8
1125132297,1,1,-10,9
1125132298,1,1,-10,10
1125132299,1,1,-10,11
1125132300,1,1,-10,12
1125132301,1,1,-10,13
1125132302,1,1,-10,14
1125132303,1,1,-10,15
1125132304,1,1,-10,16
1125132305,1,1,-10,17
1125132306,1,1,-10,18
1125132307,1,1,-10,19
1125132308,1,1,-10,20
1125132309,1,1,-10,21
1125132310,1,1,-10,22
1125132311,1,1,-10,23
1125132312,1,1,-10,24
1125132313,1,1,-10,25
1125132314,1,1,-10,26
1125132315,1,1,-10,27
1125132316,1,1,-10,28
1125132317,1,1,-10,29
1125132318,1,1,-10,30
1125132319,1,1,-10,31
1125132320,1,1,-10,32
1125132321,1,1,-10,33
1125132322,1,1,-10,34
1125132323,1,1,-10,35
1125132324,1,1,-10,36
1125132325,1,1,-10,37
1125132326,1,1,-10,38
1125132327,1,1,-10,39
1125132328,1,1,-10,40
1125132329,1,1,-10,41
